"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET_URL";"DESCRIPTION";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"PACKAGE_DESIGNATOR";"PIN_COUNT";"POPULARITY";"SOURCELIBRARY";"SPICEPREFIX";"VENDOR";
"1";"";"3RP/1610N";"3RP/1610N";"POT1";"16mm Potentiometer one level";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";
"1";"";"CPOL-USTAP5-45";"TAP5-45";"C5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"10";"";"PINHD-1X15";"1X15";"CABLE1, CABLE2, CABLE3, CABLE4, CABLE5, CABLE6, CABLE7, CABLE8, CABLE9, CABLE10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";
"2";"";"R-EU_0309/10";"0309/10";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"2";"";"R";"";
"2";"1N4004";"1N4004";"DO41-10";"D1, D2";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"82";"";"";"";
"3";"4820-3000-CP";"4820-3000-CP";"CONN_3000_3MM";"BUFFER1, BUFFER2, BUFFER3";"";"EMA_Matt";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"4820-3000-CP";"";"";"";"3M_2019-10-11";"";"3M";
"9";"C322C104K5R5TA";"C322C104K5R5TA";"CAP_C322_KEM";"C3, C4, C6, C7, C8, C9, C10, C11, C12";"";"EMA_UL_Team";"";"";"";"";"";"";"";"C322C104K5R5TA";"";"";"";"Kemet_2012-08-08";"";"Kemet";
"1";"LM555N";"LM555N";"DIL08";"IC1";"TIMER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";
"2";"SN74LS390N";"SN74LS390N";"N16";"DECADE1, DECADE2";"";"";"";"http://www.ti.com/lit/gpn/SN74LS390";"Dual 4-Bit Decade Counters";"DECADE COUNTER";"SN74LS390";"PDIP";"Texas Instruments";"";"N";"16";"";"";"";"";
